,T20,Normalized T20
0,0.803383343,1
1,0.806617201,3.263359059
2,0.805176501,2.255021217
3,0.807339685,3.769021555
4,0.805176501,2.255021217
5,0.807339685,3.769021555
6,0.807339685,3.769021555
7,0.805536094,2.506698339
8,0.805896008,2.758600127
9,0.806256443,3.01086656
10,0.808063465,4.275591113
11,0.803741335,1.250556591
12,0.806978281,3.516076924
13,0.805176501,2.255021217
14,0.803025669,0.749665975
15,0.807339685,3.769021555
16,0.806617201,3.263359059
17,0.806978281,3.516076924
18,0.808425842,4.529216741
19,0.804458278,1.752340972
20,0.807339685,3.769021555
21,0.80481723,2.003569461
22,0.807339685,3.769021555
23,0.805536094,2.506698339
24,0.806978281,3.516076924
25,0.803383343,1
26,0.806978281,3.516076924
27,0.805896008,2.758600127
28,0.807339685,3.769021555
29,0.806256443,3.01086656
30,0.806978281,3.516076924
31,0.805176501,2.255021217
32,0.805896008,2.758600127
33,0.806617201,3.263359059
34,0.807701413,4.022192951
35,0.806617201,3.263359059
36,0.805536094,2.506698339
37,0.804099647,1.501337148
38,0.806978281,3.516076924
39,0.806978281,3.516076924
40,0.807339685,3.769021555
41,0.806256443,3.01086656
42,0.807339685,3.769021555
43,0.806256443,3.01086656
44,0.808425842,4.529216741
45,0.806256443,3.01086656
46,0.806978281,3.516076924
47,0.807339685,3.769021555
48,0.805536094,2.506698339
49,0.806617201,3.263359059
50,0.808063465,4.275591113
51,0.806978281,3.516076924
52,0.806256443,3.01086656
53,0.806256443,3.01086656
54,0.806617201,3.263359059
55,0.806617201,3.263359059
56,0.807701413,4.022192951
57,0.805536094,2.506698339
58,0.809151572,5.037151094
59,0.808063465,4.275591113
60,0.806617201,3.263359059
61,0.807339685,3.769021555
62,0.807339685,3.769021555
63,0.806256443,3.01086656
64,0.808063465,4.275591113
65,0.805536094,2.506698339
66,0.809151572,5.037151094
67,0.806256443,3.01086656
68,0.805536094,2.506698339
69,0.804458278,1.752340972
70,0.807339685,3.769021555
71,0.805536094,2.506698339
72,0.805896008,2.758600127
73,0.804458278,1.752340972
74,0.806617201,3.263359059
75,0.805176501,2.255021217
76,0.805536094,2.506698339
77,0.806617201,3.263359059
78,0.807701413,4.022192951
79,0.806256443,3.01086656
80,0.804458278,1.752340972
81,0.807701413,4.022192951
82,0.808788544,4.783069835
83,0.805896008,2.758600127
84,0.808063465,4.275591113
85,0.806978281,3.516076924
86,0.806256443,3.01086656
87,0.807701413,4.022192951
88,0.805536094,2.506698339
89,0.804099647,1.501337148
90,0.807339685,3.769021555
91,0.806617201,3.263359059
92,0.806617201,3.263359059
93,0.805896008,2.758600127
94,0.806256443,3.01086656
95,0.807701413,4.022192951
96,0.806978281,3.516076924
97,0.806978281,3.516076924
98,0.806617201,3.263359059
99,0.805896008,2.758600127
100,0.805896008,2.758600127
101,0.807339685,3.769021555
102,0.807701413,4.022192951
103,0.806256443,3.01086656
104,0.803383343,1
105,0.805896008,2.758600127
106,0.807339685,3.769021555
107,0.806256443,3.01086656
108,0.806978281,3.516076924
109,0.807339685,3.769021555
110,0.806978281,3.516076924
111,0.806617201,3.263359059
112,0.807701413,4.022192951
113,0.80481723,2.003569461
114,0.805176501,2.255021217
115,0.807339685,3.769021555
116,0.806256443,3.01086656
117,0.807339685,3.769021555
118,0.805536094,2.506698339
119,0.807339685,3.769021555
120,0.807339685,3.769021555
121,0.805536094,2.506698339
122,0.806978281,3.516076924
123,0.806256443,3.01086656
124,0.806617201,3.263359059
125,0.806256443,3.01086656
126,0.807701413,4.022192951
127,0.80481723,2.003569461
128,0.806256443,3.01086656
129,0.806978281,3.516076924
130,0.807339685,3.769021555
131,0.806617201,3.263359059
132,0.805896008,2.758600127
133,0.807339685,3.769021555
134,0.802668314,0.499555217
135,0.805896008,2.758600127
136,0.807339685,3.769021555
137,0.806978281,3.516076924
138,0.806256443,3.01086656
139,0.805896008,2.758600127
140,0.80481723,2.003569461
141,0.805536094,2.506698339
142,0.806978281,3.516076924
143,0.807339685,3.769021555
144,0.805896008,2.758600127
145,0.806617201,3.263359059
146,0.805536094,2.506698339
147,0.806978281,3.516076924
148,0.806256443,3.01086656
149,0.805176501,2.255021217
150,0.806256443,3.01086656
151,0.807339685,3.769021555
152,0.808425842,4.529216741
153,0.802311276,0.249666325
154,0.806256443,3.01086656
155,0.806978281,3.516076924
156,0.807701413,4.022192951
157,0.806617201,3.263359059
158,0.808063465,4.275591113
159,0.806617201,3.263359059
160,0.806617201,3.263359059
161,0.807339685,3.769021555
162,0.807701413,4.022192951
163,0.807339685,3.769021555
164,0.805896008,2.758600127
165,0.806256443,3.01086656
166,0.807701413,4.022192951
167,0.806978281,3.516076924
168,0.806617201,3.263359059
169,0.806978281,3.516076924
170,0.806617201,3.263359059
171,0.807339685,3.769021555
172,0.808063465,4.275591113
173,0.806617201,3.263359059
174,0.806256443,3.01086656
175,0.807701413,4.022192951
