,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
0,19.0670157,12.39243804,20.98061595,17.79734273,5.21002991,3.796376544,2.847404898,0.431806251,2.361042038,4.61842824,3.459005744,4.36570824
1,18.14221146,11.42395582,23.44170822,16.48135095,4.469553508,3.452492361,2.782681771,1.387246346,1.951647004,3.999143305,2.913291209,3.057164409
2,18.78584834,11.85829691,22.670332,16.33251955,4.581392108,3.734939627,2.819777703,0.785444539,1.746885924,5.028019876,3.376010062,3.554104956
3,18.86901258,11.11810789,23.74745284,15.75221854,4.939856071,2.696127378,2.509210499,0.679450551,1.94686932,4.043748538,2.834485775,3.080276469
4,18.45126414,11.74724208,23.60881557,15.48579376,4.317348026,3.068613685,3.104183128,0.702733047,1.933961414,4.427807101,2.814443108,3.070833774
5,18.71045457,12.62354093,23.1481417,16.17547843,4.062049038,3.57138401,2.525294797,0.835810966,2.060235981,4.814432495,2.817127465,3.077338206
6,19.59560466,11.41749812,23.29036973,15.73931679,5.32431434,2.66700774,2.80639489,0.325254043,1.941384758,4.732273816,3.455714499,3.046706833
7,18.61272809,11.9826402,23.10985159,15.96026837,4.617674815,2.789051607,2.399373949,0.785150928,1.656676458,4.890407489,2.90109179,3.078733935
8,18.5162027,11.5171415,23.56968254,15.9818826,4.521418385,2.799285377,2.505108566,0.617662895,1.644637862,4.379134647,2.864537135,3.070600207
9,18.94246046,11.9101531,23.06966034,16.74039546,4.354034307,3.767966335,2.490144086,0.424858173,2.121921262,4.158065536,2.974832676,3.586692882
10,18.80189752,11.2671464,21.89337281,17.57906009,4.751860112,4.391753904,2.18778594,0.771982833,1.629216443,4.561401493,3.364329944,4.32446423
11,18.81795454,11.35658182,23.67289759,16.59425353,4.540910174,2.675590216,2.121805173,0.31940321,1.558873198,4.026802536,2.817550967,3.062899007
12,18.1887627,12.14843696,22.85430835,16.92096564,4.248085185,4.35382741,2.87266755,1.205373824,2.159036213,4.591939362,2.811238638,3.752078962
13,18.11295836,11.96868925,22.97505643,16.28394792,3.988922897,3.828779386,2.997141087,0.793243988,1.650092517,4.632180848,2.806175009,3.740488535
14,18.81236606,11.33620631,22.59691788,16.89583275,4.95538214,3.54556353,3.027520371,0.698868825,2.302606669,3.800382518,2.811278606,3.557020038
15,19.4592416,11.99857769,22.08846843,17.67418752,5.194848984,3.406140051,2.214865811,0.420935776,1.656296313,4.662379493,3.463277355,3.689897434
16,18.03089963,11.05981966,23.3366172,16.93878561,3.922946351,4.097858316,2.510859028,1.091074534,1.947695259,3.761958816,2.793978235,3.713495783
17,18.67526814,12.12991917,21.93983345,17.65219599,4.853382466,3.78852793,2.182657814,0.420420111,1.98747804,4.368917668,3.472328474,4.342621024
18,18.2077471,11.84005535,23.37847436,17.36819343,4.595083809,3.089950001,2.151309239,0.733330838,1.588145471,4.549504506,3.583890258,3.707695598
