Label,Average Freq,Average ER
1,1.57E-04,2.109248239
1,2.96E-06,1.199390444
1,2.34E-06,-0.412913473
1,2.34E-06,-0.620432223
1,5.62E-06,0.695326379
1,5.62E-06,1.063809176
1,3.32E-06,-1.622537651
1,1.05E-06,#DIV/0!
1,5.63E-06,1.210049801
1,5.63E-06,0.710049801
1,5.64E-06,0.626993875
1,2.74E-06,-1.465629679
1,5.66E-06,0.324907706
1,2.74E-06,-1.075654679
1,5.66E-06,0.025808402
1,1.45E-06,0.699390444
1,1.45E-06,0.699390444
1,5.67E-06,-0.146982156
1,5.05E-06,1.284352945
1,5.68E-06,-0.44025489
1,3.91E-06,0.699390444
1,1.45E-06,#DIV/0!
1,1.47E-06,0.119332822
1,1.05E-06,-0.800609556
1,5.69E-06,-0.592674395
1,1.05E-06,-0.800609556
1,5.70E-06,-0.733235001
1,5.70E-06,1.103067905
1,3.32E-06,-0.008128306
1,1.47E-06,-0.040782423
1,1.45E-06,#DIV/0!
1,5.57E-06,0.300772994
1,5.43E-06,0.160272644
1,2.37E-06,0.629567777
1,3.33E-06,0.629567777
1,5.46E-06,0.603067905
1,5.47E-06,-0.638292552
1,2.37E-06,0.199390444
1,5.47E-06,0.049085753
1,1.05E-06,0.199390444
1,2.37E-06,1.199390444
1,5.49E-06,0.406909194
1,5.49E-06,2.284352945
1,5.49E-06,1.275808402
1,5.49E-06,1.048005344
1,2.74E-06,-0.48031549
1,2.08E-06,-1.065167495
1,5.50E-06,0.879567777
1,5.51E-06,0.369407281
1,5.52E-06,#DIV/0!
1,5.52E-06,-0.411805767
1,5.52E-06,0.395549155
1,5.54E-06,1.021318539
1,2.68E-06,1.360354491
1,5.56E-06,1.437980345
1,2.34E-06,0.199390444
1,5.57E-06,-0.266672848
1,5.70E-06,-0.327950972
1,5.71E-06,-0.203623823
1,5.43E-06,0.213095076
1,6.02E-06,0.598185057
1,5.87E-06,0.337086527
1,5.89E-06,0.21860373
1,5.89E-06,0.647653655
1,5.92E-06,1.025808402
1,1.85E-06,-0.813648823
1,1.58E-06,0.160272644
1,5.94E-06,-0.215647055
1,5.97E-06,0.063809176
1,2.78E-06,0.959217577
1,5.99E-06,-1.678637378
1,3.28E-06,0.12970951
1,6.02E-06,0.176435396
1,2.32E-06,-1.019013011
1,2.74E-06,-0.885572057
1,1.05E-06,-1.385572057
1,3.28E-06,0.12970951
1,1.86E-06,0.991871694
1,6.04E-06,1.067873241
1,2.32E-06,0.991871694
1,2.27E-06,#DIV/0!
1,3.28E-06,-0.361600886
1,6.06E-06,0.114427943
1,6.07E-06,0.167568551
1,6.07E-06,0.079041812
1,6.07E-06,0.055117796
1,6.08E-06,-0.04332297
1,5.86E-06,1.455469484
1,2.75E-06,-1.008128306
1,5.86E-06,-0.096314458
1,5.86E-06,1.821981376
1,5.71E-06,1.745235144
1,5.72E-06,1.509307822
1,2.32E-06,0.991871694
1,5.73E-06,0.129567777
1,2.74E-06,0.55974511
1,3.31E-06,-1.285327989
1,5.74E-06,1.463422571
1,3.31E-06,2.103067905
1,3.31E-06,0.288925257
1,5.76E-06,1.175974489
1,5.77E-06,0.768142206
1,3.29E-06,-0.016672848
1,2.75E-06,#DIV/0!
1,3.29E-06,#DIV/0!
1,2.75E-06,-0.224191598
1,3.29E-06,-1.300609556
1,5.80E-06,-0.170445266
1,5.80E-06,1.540531825
1,3.29E-06,-0.300609556
1,2.09E-06,#DIV/0!
1,3.28E-06,0.647653655
1,5.83E-06,0.045863254
1,4.77E-06,0.810586655
1,5.83E-06,1.226642187
1,2.32E-06,-0.008128306
1,1.05E-06,#DIV/0!
1,5.41E-06,1.370961989
1,3.60E-06,0.360354491
1,5.12E-06,0.460049801
1,3.40E-06,0.160272644
1,2.40E-06,0.186351177
1,3.40E-06,-1.06527799
1,5.07E-06,1.275808402
1,2.32E-06,#DIV/0!
1,3.40E-06,-0.008636323
1,5.08E-06,0.629567777
1,5.09E-06,-0.564834117
1,5.00E-06,#DIV/0!
1,2.27E-06,-1.385572057
1,1.58E-06,0.160272644
1,5.11E-06,0.733327152
1,5.12E-06,-0.039950199
1,5.16E-06,1.509307822
1,5.12E-06,1.352226361
1,3.38E-06,0.55974511
1,5.13E-06,1.647653655
1,5.13E-06,1.647653655
1,5.13E-06,-1.494645667
1,3.73E-06,1.991871694
1,2.01E-06,0.647653655
1,5.41E-06,1.018105404
1,5.14E-06,0.483327152
1,3.38E-06,0.087086527
1,5.15E-06,0.699390444
1,1.05E-06,#DIV/0!
1,2.72E-06,-1.122537651
1,5.04E-06,1.959217577
1,3.40E-06,-0.618661323
1,5.04E-06,-1.601947258
1,2.40E-06,0.025808402
1,2.40E-06,-0.474191598
1,4.97E-06,0.606290426
1,4.98E-06,0.169943599
1,4.98E-06,-0.016672848
1,2.91E-06,1.699390444
1,3.96E-06,1.152835742
1,4.98E-06,-0.016209682
1,3.41E-06,0.36498802
1,4.99E-06,1.314320322
1,2.40E-06,-0.94025489
1,4.99E-06,1.025808402
1,5.00E-06,1.699390444
1,5.00E-06,0.406909194
1,2.71E-06,-0.465629679
1,5.00E-06,0.172049028
1,1.45E-06,-0.300609556
1,3.78E-06,-0.815483228
1,5.01E-06,1.785999488
1,5.01E-06,-0.267838849
1,5.01E-06,0.909659511
1,3.40E-06,0.714672011
1,2.71E-06,-0.040782423
1,2.40E-06,-0.474191598
1,2.72E-06,0.629567777
1,5.16E-06,1.509307822
1,3.37E-06,-1.424689857
1,5.41E-06,0.102504921
1,3.35E-06,1.699390444
1,1.45E-06,0.699390444
1,1.45E-06,#DIV/0!
1,5.29E-06,0.210049801
1,5.29E-06,1.672049028
1,3.35E-06,0.114427943
1,3.35E-06,-0.016672848
1,5.31E-06,0.785999488
1,5.32E-06,-0.096314458
1,2.68E-06,0.360354491
1,5.34E-06,0.375364708
1,1.05E-06,-2.385572057
1,3.37E-06,-0.166613386
1,2.27E-06,0.199390444
1,4.59E-06,-0.224608009
1,5.37E-06,-0.077950972
1,5.37E-06,1.672049028
1,5.37E-06,0.01108498
1,5.37E-06,0.788802818
1,5.38E-06,0.917568551
1,5.38E-06,0.460049801
1,1.47E-06,-1.270642179
1,5.38E-06,2.860354491
1,1.05E-06,#DIV/0!
1,2.37E-06,-1.122537651
1,5.27E-06,-0.266672848
1,5.27E-06,1.018105404
1,5.26E-06,1.252531051
1,2.27E-06,#DIV/0!
1,2.40E-06,-0.48031549
1,5.18E-06,1.980986989
1,1.05E-06,#DIV/0!
1,2.01E-06,0.647653655
1,5.18E-06,0.930319291
1,5.19E-06,3.152835742
1,5.20E-06,-0.800609556
1,5.20E-06,1.172049028
1,5.20E-06,#DIV/0!
1,5.20E-06,1.106290426
1,5.21E-06,0.775808402
1,5.21E-06,0.460049801
1,5.21E-06,1.544180078
1,6.51E-06,0.764031952
1,5.18E-06,0.169943599
1,6.69E-06,1.310586655
1,5.23E-06,0.860354491
1,1.86E-06,-0.008128306
1,5.23E-06,0.983327152
1,2.27E-06,0.199390444
1,5.23E-06,1.226642187
1,5.25E-06,0.460049801
1,3.36E-06,0.647653655
1,1.47E-06,-0.040782423
1,2.73E-06,1.491871694
1,6.08E-06,1.821981376
1,3.28E-06,0.626993875
1,9.11E-06,2.624386619
1,7.64E-06,1.5051078
1,7.46E-06,-2.23446736
1,3.22E-06,0.455469484
1,7.48E-06,-0.432126759
1,7.50E-06,1.313809176
1,4.36E-06,1.284352945
1,7.53E-06,-2.051730662
1,2.84E-06,0.546428409
1,7.55E-06,1.32469701
1,1.05E-06,0.199390444
1,7.59E-06,0.496444007
1,7.63E-06,0.581406508
1,2.27E-06,0.199390444
1,1.45E-06,0.699390444
1,2.08E-06,0.379567777
1,7.66E-06,0.106290426
1,7.69E-06,2.745235144
1,7.72E-06,-0.07955754
1,7.74E-06,0.122136151
1,7.77E-06,1.603067905
1,7.77E-06,0.96860373
1,7.80E-06,1.040531825
1,7.80E-06,1.983790318
1,2.09E-06,-0.385572057
1,3.20E-06,-0.685679678
1,7.88E-06,0.962923711
1,7.89E-06,-0.673073969
1,7.44E-06,0.314320322
1,1.85E-06,0.160272644
1,3.22E-06,-0.393709574
1,7.42E-06,1.360354491
1,2.83E-06,-0.040782423
1,6.69E-06,0.895549155
1,7.10E-06,0.30720787
1,3.25E-06,1.048005344
1,7.12E-06,-0.593090806
1,7.14E-06,1.122136151
1,3.09E-06,0.491871694
1,3.24E-06,0.460049801
1,3.24E-06,-0.332431449
1,7.19E-06,0.714672011
1,7.21E-06,0.275808402
1,2.83E-06,-0.008128306
1,7.30E-06,0.460049801
1,7.30E-06,1.488919105
1,2.83E-06,-0.008128306
1,2.91E-06,0.699390444
1,7.33E-06,0.308129157
1,7.33E-06,1.686146061
1,2.83E-06,-0.593090806
1,7.38E-06,0.685165883
1,3.22E-06,-1.186190824
1,3.22E-06,-0.478672075
1,7.41E-06,0.305065781
1,2.28E-06,-0.270642179
1,7.42E-06,0.483327152
1,3.20E-06,-0.408988012
1,7.95E-06,0.227647133
1,7.07E-06,0.152835742
1,8.79E-06,0.768521816
1,2.09E-06,#DIV/0!
1,8.47E-06,0.42044246
1,8.52E-06,1.125942885
1,8.54E-06,0.875942885
1,3.60E-06,0.360354491
1,8.54E-06,0.102504921
1,2.08E-06,#DIV/0!
1,8.61E-06,1.93677245
1,8.63E-06,-0.08557046
1,1.47E-06,-0.547333845
1,3.16E-06,1.186351177
1,8.79E-06,1.454369782
1,1.85E-06,-0.87029049
1,2.85E-06,0.160272644
1,8.82E-06,0.492370555
1,8.85E-06,1.699390444
1,2.09E-06,1.199390444
1,8.95E-06,0.727647133
1,8.98E-06,0.214530278
1,8.99E-06,0.227647133
1,2.91E-06,1.699390444
1,1.24E-05,2.12561185
1,9.04E-06,1.136625003
1,3.16E-06,0.51968451
1,9.08E-06,-0.591422803
1,8.45E-06,0.606290426
1,8.40E-06,1.606290426
1,2.08E-06,-0.620432223
1,2.08E-06,0.699390444
1,7.99E-06,0.927148651
1,1.45E-06,-0.300609556
1,5.13E-06,0.344143753
1,8.03E-06,1.491871694
1,2.08E-06,#DIV/0!
1,8.05E-06,-0.623425383
1,8.07E-06,0.661888531
1,8.07E-06,0.917568551
1,1.85E-06,0.51968451
1,2.08E-06,-1.622537651
1,8.13E-06,0.917568551
1,3.20E-06,0.980986989
1,8.17E-06,0.929290741
1,8.20E-06,1.356290426
1,2.08E-06,-0.620432223
1,8.23E-06,2.175974489
1,8.27E-06,-0.157358844
1,8.28E-06,1.49396189
1,8.29E-06,0.274201835
1,8.30E-06,0.381338677
1,8.32E-06,0.335674886
1,1.85E-06,0.51968451
1,8.34E-06,0.581406508
1,2.84E-06,0.546428409
1,8.39E-06,0.006604503
1,7.06E-06,3.284352945
1,6.08E-06,1.893308853
1,6.37E-06,0.538426396
1,6.28E-06,0.129567777
1,6.29E-06,0.893308853
1,3.27E-06,0.544180078
1,2.81E-06,-0.53757515
1,2.32E-06,-0.008128306
