,9mer,Normalized 9mer
0,0.973566308,1
1,0.975358423,1.190476226
2,0.974014337,1.047619083
3,0.969982079,0.619047654
4,0.972222222,0.857142857
5,0.970878136,0.714285714
6,0.974462366,1.095238166
7,0.969086022,0.523809595
8,0.97311828,0.952381023
9,0.971326165,0.761904797
10,0.969086022,0.523809595
11,0.97311828,0.952381023
12,0.968189964,0.428571429
13,0.971774194,0.80952388
14,0.97311828,0.952381023
15,0.971774194,0.80952388
16,0.970878136,0.714285714
17,0.971326165,0.761904797
18,0.969086022,0.523809595
19,0.976702509,1.333333369
20,0.968189964,0.428571429
21,0.973566308,1
22,0.968189964,0.428571429
23,0.973566308,1
24,0.977598566,1.428571429
25,0.970430108,0.666666738
26,0.971326165,0.761904797
27,0.96953405,0.571428571
28,0.973566308,1
29,0.970430108,0.666666738
30,0.970430108,0.666666738
31,0.968189964,0.428571429
32,0.97311828,0.952381023
33,0.968189964,0.428571429
34,0.96953405,0.571428571
35,0.972222222,0.857142857
36,0.96953405,0.571428571
37,0.971326165,0.761904797
38,0.975358423,1.190476226
39,0.970878136,0.714285714
40,0.966845878,0.285714286
41,0.974462366,1.095238166
42,0.971774194,0.80952388
43,0.977598566,1.428571429
44,0.970430108,0.666666738
45,0.974910394,1.142857143
46,0.974014337,1.047619083
47,0.970878136,0.714285714
48,0.977598566,1.428571429
49,0.973566308,1
50,0.969982079,0.619047654
51,0.971774194,0.80952388
52,0.968189964,0.428571429
53,0.974014337,1.047619083
54,0.979390681,1.619047654
55,0.974910394,1.142857143
56,0.968189964,0.428571429
57,0.971326165,0.761904797
58,0.967741935,0.380952346
59,0.968637993,0.476190512
60,0.97311828,0.952381023
61,0.968189964,0.428571429
62,0.972670251,0.90476194
63,0.971774194,0.80952388
64,0.971774194,0.80952388
65,0.971774194,0.80952388
66,0.96953405,0.571428571
67,0.97625448,1.285714286
68,0.974014337,1.047619083
69,0.981182796,1.80952388
70,0.968637993,0.476190512
71,0.972670251,0.90476194
72,0.972670251,0.90476194
73,0.97625448,1.285714286
74,0.974462366,1.095238166
75,0.971774194,0.80952388
76,0.975806452,1.238095309
77,0.974014337,1.047619083
78,0.973566308,1
79,0.973566308,1
80,0.971774194,0.80952388
81,0.973566308,1
82,0.96953405,0.571428571
83,0.974014337,1.047619083
84,0.970430108,0.666666738
85,0.975806452,1.238095309
86,0.973566308,1
87,0.970430108,0.666666738
88,0.966845878,0.285714286
89,0.972670251,0.90476194
90,0.974462366,1.095238166
91,0.970878136,0.714285714
92,0.977598566,1.428571429
93,0.980286738,1.714285714
94,0.975358423,1.190476226
95,0.974014337,1.047619083
96,0.96953405,0.571428571
97,0.971326165,0.761904797
98,0.969086022,0.523809595
99,0.973566308,1
100,0.97311828,0.952381023
101,0.969982079,0.619047654
102,0.970430108,0.666666738
103,0.972670251,0.90476194
