,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
0,18.54670761,11.7186335,22.93543059,16.69032193,4.323383435,4.15167158,2.09175929,0.951216225,2.00072033,4.122193864,2.795679805,3.717601984
1,18.32778805,11.48893829,22.9843318,17.23011786,4.722205286,3.930941249,2.204826278,1.060307316,1.74677751,3.954540528,2.908630964,3.740391805
2,18.13384167,11.18993177,22.6022582,16.97645277,4.255309421,3.337689775,1.735574906,0.589191583,1.176128739,3.904746888,2.891292644,3.722591657
3,18.07270701,11.89290866,22.31347479,16.34874877,3.92312829,3.445968961,2.82086963,1.093317687,1.949693975,4.578181132,2.83943443,3.057604411
4,18.79849309,11.87748981,24.52312589,15.66115802,4.327158573,2.959843825,2.422615407,0.617683677,1.995682028,4.407841394,2.891851569,2.911935048
5,18.69058304,11.15648139,23.51316039,16.58701731,5.381444017,3.211010125,1.762349092,1.142944377,1.198270781,4.965360217,3.499500202,3.604537372
6,18.95271862,11.79752747,23.58051186,15.9822611,5.577186771,3.04650211,2.832247873,1.064505538,2.376734592,4.763256285,3.641165521,3.58908049
7,18.57232759,11.53822681,24.13739304,15.98614094,4.689871343,3.168850092,2.634611833,0.866745853,1.939707182,3.931491646,2.948716351,3.077217317
8,18.30849522,12.25711197,23.94565877,15.53325769,4.307969826,2.988760823,2.235003748,0.949840045,1.639712587,4.792909914,2.949378555,2.940275266
9,19.0784136,12.78010844,22.85056668,17.51311904,5.019357311,3.318467861,2.526730146,1.095551634,1.96536618,5.360569389,4.193808337,3.498064103
10,18.68309217,12.0174851,22.86520912,16.91059364,5.052512257,3.112859014,2.371540305,0.616624871,1.941820567,4.560427285,3.421126558,3.665270601
11,19.00313885,11.8398866,22.92975241,16.27186732,5.33405275,3.260093681,2.535729994,1.420243939,2.075801014,4.678393829,3.545844758,3.059294534
12,19.21667257,11.79611594,24.65988439,15.96513228,6.196359169,2.548407184,2.152072669,0.806013773,1.587994359,5.683558257,4.225032251,3.590124394
13,18.81062803,12.2739084,21.26723344,17.88555323,4.70114078,4.274064225,2.359880802,0.617291357,1.616489882,4.880467166,3.605234691,4.356682706
14,18.77258814,12.73862615,23.09365727,16.58772531,4.996896369,2.791278052,2.294531039,0.318444094,1.661432988,5.29575363,3.487956017,3.713074295
15,18.91485984,12.50026561,22.05738171,16.79539139,5.377120608,3.309394403,1.740883486,1.099222427,1.176805175,5.676119493,3.543635591,3.695656756
16,19.56669891,11.41488871,23.80998748,15.29369552,5.580867511,2.522827014,2.811920186,0.633488474,1.948900007,5.000773495,3.459948698,2.906102948
17,19.03033949,12.56988662,22.73253073,16.80680026,3.929191064,3.474890701,2.417417895,0.99523756,1.988185037,5.082975088,3.549828514,3.05413299
18,19.20875022,11.78295862,23.80684658,16.09348262,5.1248842,2.665858111,2.011267649,0.67583828,1.177076354,5.126880667,3.684829406,3.053486814
19,19.68897779,11.11140945,24.57194678,15.46757731,5.832359211,3.07852005,2.500033571,1.01847968,1.937927234,5.342157059,4.100528832,3.07924709
20,18.66697146,11.82027738,22.90894399,16.51410948,4.844962814,3.68041364,2.13115769,1.050628378,1.672957038,5.295174382,3.450937382,3.601303845
21,18.83639755,11.67687982,22.85773927,16.10601371,5.588110213,3.60415399,2.874324337,1.509131095,2.417101256,5.105083604,3.976539182,3.632474025
22,18.89556264,11.95785814,21.68142297,17.39594566,4.438755155,3.177392274,1.741603436,0.59416408,1.183033938,4.665648608,3.467698474,3.560147843
23,18.43018866,11.88492779,23.0109428,17.14556881,5.257766319,3.265294474,2.555557148,0.799757106,2.09884288,4.339992432,3.492721222,3.722604435
24,19.64811249,12.1969905,23.42548062,16.67227238,4.798438885,3.112930903,2.089849574,0.669381308,1.630679086,5.294376964,4.005657404,3.045561604
25,18.71020946,11.72229685,22.46324887,17.79923212,4.106289581,4.90150922,2.255465378,0.837418596,2.050894636,3.749383933,2.899741778,4.415784555
26,18.82544399,11.06422623,23.44066417,16.60125794,4.673995431,4.39933567,2.82225196,0.706966196,2.367429608,3.818328385,2.931433425,4.290740059
27,18.7580361,11.78106756,24.09925416,16.24000993,4.882200804,2.93001818,2.151508383,1.047532507,1.588344615,4.803991635,3.555647283,2.907998849
28,18.70631683,12.87588752,24.09686054,16.4388845,5.530298312,2.548681614,1.763716558,0.811631637,1.199638248,5.740841733,3.661324859,3.622190202
29,19.79377201,12.47627594,23.56242951,16.65930849,6.278164042,2.657008814,2.803937796,0.303995944,2.356581897,5.056462298,4.155731854,3.657436271
30,19.03643505,12.64169384,22.59608125,17.17277047,4.851124752,4.00280861,3.112898199,0.976773251,2.345967267,5.245812609,4.036937141,4.207861294
31,19.57471871,11.27964835,25.28312668,15.7588732,5.820563082,2.555692731,1.767040704,0.841908042,1.202962393,5.450481769,4.265358905,2.943721353
32,19.43970341,12.10404221,25.04314976,16.2668651,5.798108733,3.070291191,2.457061812,0.689136737,2.03725985,5.3459308,4.212478604,3.592415681
33,19.03229735,12.18162705,24.24953123,15.7596453,4.463683215,2.642181223,2.632077667,0.310024251,1.617604431,4.463278345,3.009697242,2.907258171
