,All Mutations,LO 0,LO 1,LO 2,LO 3,LO 4,LO 5,LO 6,LO 7
0,-0.806625053,-0.6598510955570349,-0.01981442234399156,,,,,,
1,-2.1174754140000003,-1.8355786787690267,-1.193681300372181,,,-1.4721081781313492,,,
2,-1.82262457,-1.5143335936372042,-1.0557500275802347,,,,,,
3,-1.593580562,-0.9885965083314732,-0.6833730954590682,-1.7437347539997692,,,,,
4,-0.076518734,,,,,-0.018738584040971062,0.9875926516413812,0.1001020819510634,
5,-1.34333522,,-0.635817743526334,,-1.446495839580491,-0.6169981929605335,,,
6,-1.417207909,,,-1.26880212763025,,,,,-1.6303330021341553
7,0.365923403,,,0.02726777976543948,,-0.5205282417212915,,,
8,-0.8987982959999999,,,-0.8579674237632826,,,,,
9,-1.98121299,,-1.0975880944898946,,-2.140858682523863,-1.2192993028650925,,,
10,-2.435832445,-1.7273453017779854,-0.7353615011975889,,,-2.648016135565223,-2.0899330420003555,-0.6373837362182693,-2.383487944378187
11,-1.864108191,-0.9673827958084672,-1.3576054653359868,-1.7796898224787612,,-1.4403728269018474,-1.702134494216164,,
12,1.016316231,,,,,-0.08274975763718563,,,1.0271250842447675
13,-2.288757424,-2.167426668531057,,,-2.5628520696455688,-1.3041503184225167,,,
14,-1.836291188,-2.112265251163475,-1.689803766180566,,-2.3381478250749836,,-1.7851476924919831,,
15,-2.297217658,,-1.2041382815830597,,,-2.0504994542729817,,,
16,-2.275278201,-1.7572576869700802,-1.1726693060957665,,,,,,
17,-0.81676934,,,,-1.1042504047757369,0.9763273937645468,-0.1742595488985339,-0.8884673159555044,
18,-1.629664951,,-1.149078577133401,-1.7664389231268451,,,,,
19,-2.179958119,,-1.3064280691361794,,-2.294324602878925,-1.2042644172247563,-1.6833848898931532,,
20,-1.643374419,-1.3926562366157738,-0.9504902151752864,-1.7390502817419409,,,-1.3815276605968672,,
21,-2.464925275,-2.55885651141612,-1.8481010256592527,,,-2.940411080663196,-2.020800800346029,,
22,-1.69922613,,-0.8152916378262294,-1.7333472691241014,,,,,
23,-3.077043696,-2.3897666518617378,-1.8130429483038468,,-3.589719635763109,-2.325640713938429,,,
24,0.383959988,,,,-0.7281967450000052,,,,0.48759570228053994
25,-1.414711944,,-0.0974864619186424,,,-0.8443029332244283,,,
26,1.315496362,,2.5651731295272597,,,,,,1.3395777554778334
27,-2.369524801,-2.122151385482735,-0.4972973814273805,,,,-2.2402685846918287,,
28,-1.240605997,,,,-1.3823973147658029,-0.16042437473218385,,,
29,-1.224563102,-1.4888669059083492,,,,,,,
30,1.046065697,,,,,1.1924679774455242,,0.8752646350591615,1.062292954550391
31,1.976481439,,,1.830068305428399,,,,0.5792484088435407,1.8900862887182086
32,-0.259012829,,0.8862659110000823,,,-0.27694853319181423,,,
33,2.613742218,,,,,,,2.0935147841066515,2.661853780692203
34,1.800526162,,,,,1.8941283643549889,2.083357532984188,,
35,2.756795566,,,,,,,1.2760222212040295,
36,-1.751047751,-1.5938804262824977,-0.5045763191909964,,,,-1.306322877646842,,
37,1.3845535,,,,,,,,
38,0.202895084,,,,,-0.3895184596157648,0.4217630016425316,,
39,3.636287078,,,,,,,,
40,2.752359875,,,,,,,1.651070527518768,
41,0.656334561,,,,,,,,
42,1.205618293,,,0.6535931464397056,,0.6944820605056155,1.301484654059979,,
43,2.703308017,,,,,,,,
44,0.664504903,,,,0.24863149220566644,,,,
45,2.4053286590000003,,,2.497435882046536,,,,,
46,1.126570191,,,,1.3682795417690548,,1.618299062645722,,
47,0.025912128,-0.4361400671252511,,,-0.3015985781134081,,,,
48,1.999992226,,,,,,,,2.0116195495965936
49,2.237965939,,,,,,2.4864905781255686,,
50,2.9914480180000003,,,,2.6876767733981226,,,,
51,2.937122033,,,,,2.487178018078517,,,3.0666709994108627
52,0.78610533,0.24868352806831595,,,,,0.8845048449527184,,
53,1.795287505,,,,,,1.8694089630585524,,
54,1.5173822019999998,,,1.1664077781615552,1.8228622578470968,1.6034687422569416,,,
55,0.750394652,0.8032843542617041,,,,0.9646626483733218,1.1607936290720753,,
56,1.478858409,,,,,1.1458633535556213,1.1700740997496768,,1.5424665461144627
