,All Mutations,LO 0,Lo 1,LO 2,LO 3,LO 4,LO 5,LO 6,LO 7
0,1.327239164,2.034800880800081,0.7917908596899563,,,,,,
1,2.421367248,3.0967233244480017,1.7097574522034955,,,2.34207016323246,,,
2,0.8607421690000001,1.8277002687162611,0.3823723042419953,,,,,,
3,0.210036268,1.3015263706155555,0.06851313230404421,0.4226824193271166,,,,,
4,1.324030252,,,,,0.5522335044177165,0.7478433739387631,1.440784079389504,
5,0.940680548,,0.6618698179470586,,1.3995115403655407,0.9681175734992602,,,
6,2.114123803,,,2.2902100520401323,,,,,2.1215195852529787
7,-0.112984487,,,-0.0399085493852196,,0.5119374874789622,,,
8,2.195437761,,,2.4910788514221185,,,,,
9,0.966442109,,0.4370045318949332,,1.7715712725007862,0.9591286125439852,,,
10,1.334440336,2.077482015426722,0.6574933673620693,,,1.3704382387463898,1.7180204783933384,1.9470916991457887,1.474873615000737
11,1.3346409609999998,1.901396420604466,0.8662381279096376,1.3730200749661383,,1.6599793408585777,1.6339846929077682,,
12,-2.109551021,,,,,-1.6615843284600302,,,-2.118892393384657
13,1.307603839,2.283602323583716,,,2.0438377912846617,1.4853869886767357,,,
14,2.434933165,3.0535276097922432,1.7022757319777415,,2.6131069422899875,,2.5066005580832766,,
15,2.210305142,,1.3297556161876596,,,2.5279817473583126,,,
16,0.837193395,1.7134481934037256,0.3895979746098568,,,,,,
17,1.5704783569999998,,,,2.4511018346329427,0.8639144431499768,1.3649255742328488,2.1202608766811744,
18,1.00495534,,0.9125783860875478,1.1018632436375748,,,,,
19,1.3739790369999998,,0.6864392097995781,,2.0044393489409487,1.1115767638581762,1.7742579778330638,,
20,0.057091948,1.2444614907615887,0.13026058828470455,0.1809189413612382,,,0.5927657051094004,,
21,2.143824866,3.265364844737101,1.3491006299701604,,,2.1199859898618256,2.2733461830220216,,
22,1.4092324230000002,,0.3513786749796317,1.5564682436494492,,,,,
23,2.273193699,2.9823713898910715,1.411317338340655,,2.7728946231001945,2.5419683224050216,,,
24,-0.195289003,,,,-0.11634359045895247,,,,-0.19048586334233075
25,1.263014169,,0.3626142128386436,,,1.7471904557579487,,,
26,-2.495509359,,-3.469259576161701,,,,,,-2.2743562485259856
27,1.257294907,1.6655049270933913,0.3842198330540354,,,,1.333829762620213,,
28,0.962155865,,,,1.643234056836631,1.0569913537731783,,,
29,-0.489974728,0.5011095834875566,,,,,,,
30,-1.201877446,,,,,-1.0687724875501303,,-0.5607102045971376,-1.095444473969226
31,-0.360198625,,,0.11899037838816715,,,,0.3218379855580267,-0.2342050328348826
32,-1.378293121,,-2.080268294388825,,,-1.375698335728048,,,
33,-2.234351379,,,,,,,-1.6256075055310015,-2.0962952525895124
34,0.007871329,,,,,-0.8781904108441605,0.8012025942803589,,
35,-0.57573969,,,,,,,-0.2844157140260368,
36,1.777039821,2.6270175865928844,1.0856141483285646,,,,2.199907170935675,,
37,0.999654508,,,,,,,,
38,0.257048714,,,,,0.5177519251421299,0.5613134438015158,,
39,-0.815211153,,,,,,,,
40,-2.979217497,,,,,,,-2.3489414088082734,
41,0.781986397,,,,,,,,
42,-0.739063338,,,-0.5657682988122585,,-0.8934063017275324,-0.2429985413946181,,
43,-1.35804389,,,,,,,,
44,-0.439633888,,,,-0.12795549722612432,,,,
45,-2.57872819,,,-2.451087725058759,,,,,
46,-0.474578861,,,,-0.5342392003889598,,0.11644674623645646,,
