2.6.20,Elot,Cren,Abit,Duli,Emi,Ixe,Ibal,Mat,Trem,Goli,Visi,Patri,,2.6.20,Elot,Cren,Abit,Duli,Emi,Ixe,Ficla,Romo,Atel,Rad,Gani,Boco
1.526,0.004508859,0.003804803,0.047016493,0.237158377,0.557381829,0.835422103,0.004196939,0.018287668,0.002898897,0.003666819,0.913981901,0.874005582,,1.526,0.005909373,0.006531413,0.207272303,0.207206646,0.730057534,0.914047501,0.088132874,0.144589975,0.01118198,0.049105219,0.835322777,1.144823067
0.4579,0.004196939,0.004337602,0.011692513,0.115545984,0.445157848,0.637848024,0.003578521,0.004737738,0.00342144,0.00383616,0.637821287,0.637884858,,0.4579,0.004988943,0.005212686,0.144619581,0.126455083,0.582969715,0.730097622,0.056259853,0.088119212,0.003475124,0.013974517,0.798822765,0.956271245
0.1526,0.005497825,0.005682911,0.004988242,0.023893889,0.041028727,0.189429406,0.004973228,0.005200645,0.004752206,0.004752206,0.08055935,0.207262935,,0.1526,0.005966055,0.005751062,0.096451216,0.047059168,0.271472956,0.425578563,0.007132602,0.020970067,0.00323052,0.002674726,0.637881357,0.730019456
0.04579,0.01021388,0.009761605,0.008909553,0.020812631,0.008516362,0.010177205,0.00963023,0.008792818,0.00963023,0.012355937,0.008622488,0.01121002,,0.04579,0.010132823,0.009760976,0.018406412,0.020091692,0.092310946,0.043068295,0.006380488,0.007343316,0.006876494,0.005423415,0.096494222,0.144660181
0.01526,0.020970926,0.021923162,0.020812631,0.039434458,0.01817812,0.017371833,0.023976389,0.028702295,0.026278757,0.025346468,0.02094671,0.02002191,,0.01526,0.021765795,0.019181006,0.019181006,0.024018543,0.022777444,0.016393627,0.011908678,0.012459157,0.013510431,0.009590503,0.01832909,0.018844807
0,0.106502911,0.105158554,0.108444759,0.108444759,0.108444759,0.115017169,0.105158554,0.098144714,0.105158554,0.105158554,0.115017169,0.105158554,,0,0.180052469,0.174596333,0.141859521,0.130510759,0.119161998,0.107813236,0.107813236,0.102138855,0.100483827,0.094573014,0.106394641,0.094573014
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elot,Cren,Abit,Duli,Emi,Ixe,Ibal,Mat,Trem,Goli,Visi,Patri,Ficla,Romo,Atel,Rad,Gani,Boco,,PSR,BVP,CIC,ELISA,,,
15.26,0.004746529,0.006726243,0.092585318,0.2785546,0.793685375,1,0.002917518,0.136650688,0.034018832,0.024929729,1.181507704,0.51954174,0.04812146,0.068931652,0.009957918,0.028898684,1.296441188,1.698087604,15.26ug/mL,0.872162473,0.753421254,0.206845944,0.639024443,,,
4.579,0.004095886,0.004895627,0.099706047,0.248889749,0.711039318,0.943342702,0.002845004,0.118768514,0.008988814,0.006822666,1.095080999,0.693745376,0.047313127,0.08745936,0.008675185,0.026466546,1.261642621,1.699852548,,0.87496544,0.75177059,0.201444505,0.639616431,,,
1.526,0.003378227,0.00351412,0.113553535,0.214823145,0.650104622,0.843293295,0.002537865,0.062752028,0.002258517,0.002605785,0.928362093,0.708167862,0.031967582,0.066161617,0.005001153,0.017140304,1.195736968,1.558958583,,0.880943146,0.748865306,0.206618656,0.632888098,,,
0.4579,0.003048088,0.0030881,0.053996305,0.141462572,0.535535741,0.63327447,0.00224998,0.010672287,0.001905957,0.002163736,0.641760629,0.519947786,0.02035402,0.042076022,0.002504042,0.005581861,0.988479745,1.098302111,,0.88556791,0.723305366,0.20781363,0.595585447,,,
0.1526,0.003506764,0.003564431,0.018882922,0.053275989,0.235763533,0.333743542,0.003078979,0.003377723,0.002707334,0.00256775,0.189323319,0.186384102,0.004062724,0.01023913,0.003130337,0.00227619,0.583372799,0.556147201,,0.849489605,0.709299887,0.230227508,0.589018585,,,
0.04579,0.006203224,0.006255749,0.007606244,0.017469716,0.019961826,0.018793182,0.005462581,0.005317492,0.005896574,0.006383318,0.005161356,0.007282211,0.005220162,0.005469277,0.006346836,0.004594766,0.048732713,0.069179635,,0.682195823,0.790626272,0.306931005,0.703215258,,,
0.01526,0.012554978,0.013400521,0.013320007,0.023087853,0.011770661,0.01152352,0.012324935,0.016006404,0.014465319,0.013350779,0.011912638,0.011733039,0.010333841,0.010002641,0.014093594,0.011057012,0.015569862,0.025397404,,0.332812383,0.696852266,0.382938705,0.733533234,,,
0,0.089087374,0.087648581,0.082933572,0.080529432,0.078567594,0.077374213,0.070322317,0.06815148,0.068765686,0.069948776,0.074307405,0.071149318,0.08114088,0.078409308,0.077857632,0.076939549,0.080880092,0.075887361,,-0.07671451,0.027571764,-0.415939026,0.005969272,,,
PSR,0,0.1,0.17,0.33,0.64,0.81,0,0,0.15,0.23,0.42,0.52,0,0,0.07,0.13,0.55,0.76,,,,,,,,
BVP,1.26,2.78,2.72,9.63,8.33,10.4,1.13,1.03,1.97,2.71,4.8,4.35,1.23,1.47,6.2,3.29,4.91,18.88,,,,,,,,
CIC,8.5,8.9,8.6,9.5,9.5,9.6,8.7,8.6,11.2,11.2,9.1,9.4,8.5,8.4,10.8,8.9,9.5,10.6,,,,,,,,
ELISA,0.98,1.13,1.14,8.54,3.3,8.8,0.99,1.06,1.21,1.31,1.88,2.35,1.13,1.01,,1.26,1.3,13.5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elot,Cren,Abit,Duli,Emi,Ixe,Ibal,Mat,Trem,Goli,Visi,Patri,Ficla,Romo,Atel,Rad,Gani,Boco,,,,,,,,
15.26,0.003978875,0.003990572,0.09441954,0.056488043,0.207260885,0,0.001802503,0.127617827,0.04697961,0.036757635,0.081189666,0.129549685,0.072789418,0.06004038,0.013034788,0.047986435,0.296552908,0.388875933,,,,,,,,
4.579,0.002436302,0.003329737,0.081910589,0.049230501,0.068563604,0.058978558,0.001957475,0.122075203,0.009580502,0.006788993,0.049869356,0.192543479,0.073488429,0.095862915,0.011396425,0.04383635,0.307601023,0.40914558,,,,,,,,
1.526,0.001741109,0.001825924,0.065501965,0.036827873,0.062269077,0.05519145,0.00153708,0.082825207,0.000622394,0.000984739,0.024368008,0.149663698,0.048640647,0.067989706,0.005355105,0.027682641,0.335623385,0.4096405,,,,,,,,
0.4579,0.001457841,0.001547346,0.053212951,0.0425873,0.057721814,0.084656872,0.00124482,0.011500093,0.001346567,0.001460581,0.086276078,0.124903361,0.031096054,0.040053533,0.000843557,0.007268532,0.235992778,0.209476502,,,,,,,,
0.1526,0.001864286,0.001777431,0.038012431,0.027114213,0.09781274,0.087877042,0.001680349,0.001585157,0.001793648,0.001900632,0.159053824,0.036132632,0.002659885,0.009356234,0.00019815,0.000388233,0.120759792,0.248707935,,,,,,,,
0.04579,0.003276114,0.002981681,0.005686687,0.005272857,0.035478968,0.012092259,0.003807583,0.003139678,0.003412408,0.005182448,0.002997457,0.003446248,0.001036588,0.001623908,0.000744802,0.000775911,0.043260024,0.065433545,,,,,,,,
0.01526,0.007132138,0.005857009,0.005770581,0.009864581,0.007112547,0.004647016,0.01015836,0.011149144,0.010338721,0.010405425,0.007860963,0.00717858,0.00156328,0.00212742,0.000853223,0.001851239,0.00300453,0.0080869,,,,,,,,
0,0.050678002,0.048579123,0.037955205,0.034326784,0.030671402,0.028865896,0.031967694,0.027018257,0.032314931,0.03059294,0.035266363,0.029457515,0.02359164,0.021424273,0.020509496,0.017073191,0.02337806,0.017278487,,,,,,,,
