1/3x,15.26,4.579,1.526,0.4579,,1/10x,15.26,4.579,1.526,0.4579,,1/30x,15.26,4.579,1.526,0.4579,,
Elot,0.068680655,0.06956573,0.05607094,0.053643566,,Elot,0.031318613,0.041453029,0.03513278,0.044177755,,Elot,0.026857735,0.032521503,0.030921624,0.033109193,,
Cren,0.212488557,0.132882837,0.176351067,0.1114391,,Cren,0.04972922,0.047240398,0.041627045,0.041863364,,Cren,0.024187659,0.024384177,0.026158183,0.030468323,,
Abit,0.246165045,0.308504016,0.506724188,0.125390588,,Abit,0.231546432,0.201152788,0.16142785,0.063581946,,Abit,0.077565428,0.082749931,0.068457431,0.036407152,,
Duli,2.642913848,2.418165118,2.209719922,1.314555141,,Duli,2.505917442,2.570327112,2.381676313,1.36565862,,Duli,1.719281167,1.685395928,1.461222943,0.768228043,,
Emi,3.483454268,3.135668356,3.266446985,2.089990569,,Emi,2.673461638,2.656494463,2.336903102,1.378432486,,Emi,1.754646655,1.605290302,1.353440807,0.673621685,,
Ixe,6.082930812,5.477754546,4.948140312,3.534117977,,Ixe,5.381073581,4.585837962,4.333614915,2.748553808,,Ixe,3.962689389,3.779869626,3.06351941,2.236323823,,
Visi,5.94409708,5.38730667,5.277936628,3.317676045,,Visi,5.236857575,4.847905653,4.327746593,2.729724373,,Visi,3.405350624,3.213776953,2.666065103,1.753713607,,
Boco,14.06646912,13.5555969,12.87138714,10.17221395,,Boco,11.09863685,10.58453783,10.11032946,7.617176836,,Boco,7.621789469,7.410284977,6.413703767,5.84137152,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
15.26,1/3x,1/10x,1/30x,,4.579,1/3x,1/10x,1/30x,,1.526,1/3x,1/10x,1/30x,,0.4579,1/3x,1/10x,1/30x
Elot,0.068680655,0.031318613,0.026857735,,Elot,0.06956573,0.041453029,0.032521503,,Elot,0.05607094,0.03513278,0.030921624,,Elot,0.053643566,0.044177755,0.033109193
Cren,0.212488557,0.04972922,0.024187659,,Cren,0.132882837,0.047240398,0.024384177,,Cren,0.176351067,0.041627045,0.026158183,,Cren,0.1114391,0.041863364,0.030468323
Abit,0.246165045,0.231546432,0.077565428,,Abit,0.308504016,0.201152788,0.082749931,,Abit,0.506724188,0.16142785,0.068457431,,Abit,0.125390588,0.063581946,0.036407152
Duli,2.642913848,2.505917442,1.719281167,,Duli,2.418165118,2.570327112,1.685395928,,Duli,2.209719922,2.381676313,1.461222943,,Duli,1.314555141,1.36565862,0.768228043
Emi,3.483454268,2.673461638,1.754646655,,Emi,3.135668356,2.656494463,1.605290302,,Emi,3.266446985,2.336903102,1.353440807,,Emi,2.089990569,1.378432486,0.673621685
Ixe,6.082930812,5.381073581,3.962689389,,Ixe,5.477754546,4.585837962,3.779869626,,Ixe,4.948140312,4.333614915,3.06351941,,Ixe,3.534117977,2.748553808,2.236323823
Visi,5.94409708,5.236857575,3.405350624,,Visi,5.38730667,4.847905653,3.213776953,,Visi,5.277936628,4.327746593,2.666065103,,Visi,3.317676045,2.729724373,1.753713607
Boco,14.06646912,11.09863685,7.621789469,,Boco,13.5555969,10.58453783,7.410284977,,Boco,12.87138714,10.11032946,6.413703767,,Boco,10.17221395,7.617176836,5.84137152
