,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.027997408,0.15491611,-0.09742741,-0.9591631,-0.012868561,-0.22341502,0.06120238,0.2221866,0.29730725,-0.35694835,0.16769359,0.2379625,-0.011252019,-0.19535737,-0.09209862,-0.06175126,-0.8855834,0.03739575,0.19224933,-0.74698216,-0.07933564,0.35818216,-0.37066746,-0.22802028,0.099695124,-0.072469264,-0.117112525,0.066019624,0.552113,-0.49841636,0.16847833,0.3418058,0.2747006,-0.17961715,0.68624395,0.07227037,-0.2707384,0.065670155,0.09365918,-0.13905752,0.030679528,0.27755713,0.004300434,-0.02276081,-0.15538533,0.17335464,-0.915951,-0.3540018,0.17858765,0.2579739,0.44083786,0.046206277,-0.022166986,-0.06784572,0.118793756,0.0036590192,0.051791836,-0.03582468,-0.029096123,0.31558484,-0.16011406,-0.050350692,0.5084004,-0.022136066
1,0.026986428,0.15553105,-0.104115814,-0.9536753,-0.013290086,-0.22752286,0.06553871,0.22749871,0.28848276,-0.36776897,0.16975509,0.24932538,-0.015459051,-0.20287709,-0.10568728,-0.060976993,-0.8754773,0.037371267,0.18769614,-0.7495166,-0.08540729,0.36760265,-0.3871972,-0.23293619,0.11040802,-0.070615724,-0.12169251,0.05467406,0.5827709,-0.5094133,0.1755057,0.3307938,0.28975326,-0.1956341,0.68055195,0.08342694,-0.26375985,0.056887176,0.10226256,-0.138948,0.034574185,0.29290554,0.00424568,-0.024817506,-0.13852686,0.18902725,-0.9149296,-0.35117486,0.19410177,0.25625804,0.4427449,0.04703161,-0.024421323,-0.06651113,0.12597252,0.0034607358,0.048296668,-0.031217638,-0.027395563,0.32024068,-0.16595262,-0.050188143,0.51501614,-0.020910084
2,0.028010404,0.16026565,-0.093452044,-0.962243,-0.012148207,-0.23337364,0.06258372,0.22594127,0.30005205,-0.34420273,0.17581612,0.24421892,-0.011634267,-0.18031171,-0.09194144,-0.059262525,-0.8762766,0.040819302,0.1841655,-0.75247866,-0.07349142,0.36774608,-0.37300453,-0.21725346,0.10347665,-0.07256217,-0.11173439,0.078665644,0.56468266,-0.49485365,0.17462024,0.33879215,0.2648559,-0.17026076,0.6982852,0.0782345,-0.25880298,0.059694935,0.09315767,-0.12972073,0.030769272,0.25782716,0.00049716455,-0.023310624,-0.15807165,0.16539611,-0.9155434,-0.34742963,0.1761484,0.24221425,0.42739183,0.04675772,-0.019715406,-0.06970032,0.11789467,0.0024363094,0.0482586,-0.03069816,-0.028559364,0.32632968,-0.16008666,-0.047340117,0.49944022,-0.017982872
3,0.033790853,0.16766442,-0.0982398,-0.9559224,-0.008374596,-0.24652766,0.06350747,0.23717193,0.29612914,-0.37121177,0.17500612,0.24436295,-0.011728653,-0.20619345,-0.10276503,-0.06550526,-0.8764343,0.039377872,0.19359678,-0.7570747,-0.071683735,0.35755917,-0.39399043,-0.22444709,0.10518577,-0.071058296,-0.11323519,0.07333821,0.5755575,-0.49863693,0.18764317,0.33940917,0.29026204,-0.18333748,0.6946394,0.06966647,-0.2650943,0.05977694,0.102541,-0.13347693,0.032624856,0.28179586,-0.00018696372,-0.033464056,-0.16259775,0.18514086,-0.9163461,-0.3546056,0.19197296,0.2586469,0.42784554,0.052309114,-0.024130043,-0.07071571,0.12268336,0.0008650659,0.05811362,-0.03243504,-0.032436296,0.32215136,-0.16637728,-0.049101386,0.5048344,-0.030632451
4,0.03331975,0.16368774,-0.10364174,-0.95900106,-0.013761351,-0.24249966,0.05767322,0.23046206,0.30275744,-0.3602293,0.16789865,0.24872138,-0.013908289,-0.22255275,-0.10519338,-0.06236047,-0.87221426,0.04134445,0.18873428,-0.76531255,-0.08036286,0.36295676,-0.37283993,-0.20789315,0.11138747,-0.07045442,-0.11025541,0.07289385,0.5794532,-0.49369875,0.18197076,0.334001,0.27915817,-0.1824673,0.6869347,0.083027355,-0.257916,0.054526888,0.10133022,-0.13471226,0.028743017,0.27320197,0.0038552715,-0.031754784,-0.15008543,0.18309589,-0.91898876,-0.3457454,0.18750736,0.24784364,0.4283077,0.049015917,-0.023784729,-0.06745799,0.12207024,0.0022901325,0.05161772,-0.022252282,-0.031714078,0.31519702,-0.16537237,-0.04598439,0.50713223,-0.024645567
5,0.035166018,0.16307046,-0.104403704,-0.95796734,-0.015061005,-0.24209653,0.061895646,0.22409849,0.30255014,-0.36385006,0.16753137,0.2457155,-0.014919863,-0.2162457,-0.10230934,-0.062301293,-0.88019896,0.039777987,0.19022426,-0.75874025,-0.080145285,0.3636239,-0.380682,-0.21626082,0.11038009,-0.07269131,-0.11101738,0.06547289,0.5777505,-0.5020757,0.17773002,0.33887425,0.28219503,-0.18499862,0.6818105,0.07893377,-0.2623688,0.058206014,0.099189475,-0.13929527,0.030454094,0.2772138,0.0074136658,-0.026086332,-0.14617921,0.18129392,-0.916896,-0.3499479,0.18374023,0.25967658,0.42582747,0.04821158,-0.024907866,-0.06885002,0.118310004,0.0031591298,0.05109011,-0.027163886,-0.02648278,0.3149434,-0.16670373,-0.048484404,0.51624817,-0.023376476
6,0.031176865,0.16871817,-0.100622036,-0.9569003,-0.0138521725,-0.24410076,0.06944865,0.2353349,0.29349652,-0.3749907,0.18254809,0.25000954,-0.011976228,-0.19736414,-0.09572501,-0.059881214,-0.87526613,0.04022618,0.1893369,-0.7588457,-0.07669886,0.37224963,-0.39886704,-0.22647601,0.11130852,-0.06974429,-0.11488384,0.0666814,0.59946924,-0.5135071,0.18576668,0.3351027,0.29106438,-0.18926476,0.6847177,0.08069079,-0.25837958,0.05715602,0.10413946,-0.13648196,0.032551564,0.28040484,0.0062871706,-0.0250187,-0.14473101,0.18628432,-0.91248506,-0.35855147,0.18995997,0.26161593,0.42796466,0.04969357,-0.023277115,-0.06961113,0.120570295,0.0013174405,0.04843235,-0.028494796,-0.025853109,0.33410496,-0.17076038,-0.048793465,0.5183946,-0.0224262
7,0.02862297,0.16538134,-0.09226759,-0.95376027,-0.0058940263,-0.22874111,0.064818114,0.24520503,0.28447247,-0.37978038,0.18666676,0.24664842,-0.011524943,-0.19224426,-0.10693899,-0.06511463,-0.86995333,0.036976486,0.18957572,-0.74934727,-0.07202648,0.3619902,-0.40242583,-0.23995486,0.10558884,-0.06921066,-0.12510668,0.0604665,0.5844027,-0.5043687,0.1896679,0.33957222,0.30117378,-0.19552508,0.70163745,0.07239015,-0.26186353,0.057269026,0.10674569,-0.13374823,0.037678454,0.29675812,0.0030899774,-0.03184801,-0.15458593,0.19510455,-0.91410756,-0.3602781,0.20463187,0.2586741,0.44308203,0.053107228,-0.024354171,-0.066442385,0.12610586,-9.926789e-05,0.054970082,-0.03988526,-0.030340951,0.32558423,-0.1660233,-0.050068665,0.50268406,-0.03014672
8,0.030501645,0.16369592,-0.09918849,-0.9538725,-0.009000477,-0.21624361,0.060224123,0.23778635,0.2868004,-0.3739143,0.18318093,0.24586661,-0.01512401,-0.19808747,-0.11102576,-0.06491569,-0.86882126,0.03724038,0.18777168,-0.7507024,-0.07484936,0.35589603,-0.3846095,-0.23536317,0.10596449,-0.06929835,-0.12426694,0.057645056,0.5724649,-0.5020079,0.18202871,0.34190977,0.29540753,-0.19428125,0.69528043,0.0734937,-0.26172853,0.05721159,0.10150967,-0.13646829,0.034174804,0.29580384,0.0059062196,-0.031913072,-0.15359236,0.19376774,-0.9177325,-0.35936648,0.19868799,0.26201975,0.44300193,0.051233556,-0.024869103,-0.06824173,0.1253938,0.0015083615,0.055779662,-0.040029317,-0.028085064,0.31905824,-0.16527545,-0.049695197,0.5004394,-0.027790213
9,0.025156254,0.15264113,-0.09679851,-0.9603683,-0.012620363,-0.21050078,0.055338264,0.22277582,0.2973557,-0.34929776,0.1737701,0.2344972,-0.014732794,-0.19074325,-0.10689706,-0.06274352,-0.8793262,0.037758775,0.18907003,-0.751664,-0.0763117,0.3513241,-0.35476497,-0.2203031,0.09866906,-0.07105381,-0.11648625,0.06982987,0.5391828,-0.47839433,0.16668369,0.34182242,0.2623606,-0.17014137,0.6996132,0.076183036,-0.26778367,0.06349805,0.09071646,-0.13493882,0.030778818,0.26332974,0.002021256,-0.025504155,-0.16261862,0.1674661,-0.9215445,-0.34627694,0.1775506,0.24805722,0.4451965,0.046336412,-0.022058723,-0.068072036,0.120777875,0.0032001757,0.05609211,-0.037937596,-0.028538572,0.3077059,-0.15467006,-0.04761543,0.49188557,-0.020137168
