,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.73363155,0.12660807,0.9816376,0.0096644405,0.9465764,0.6987724,0.15692882,0.6125781,0.95752543,0.5745518,-0.98978144,0.9679289,0.9566977,0.16127421,0.83596,0.7240896,0.2752861,0.051821988,0.009925593,0.26038942,-0.84719414,0.9645937,0.97305906,0.9979901,-0.99969375,0.964686,0.3676968,0.5378623,0.8277385,0.044094063,0.8372997,0.84910417,0.95700204,0.9998953,0.9677439,0.04398545,0.9232998,0.3089615,0.8984755,-0.42037997,0.095369615,0.78509694,0.9517994,0.056468744,0.4172494,0.96847117,0.003418169,0.7698299,-0.37439755,-0.9488783,0.99997354,-0.25490892,0.58233714,0.34655505,0.4227229,0.7997926,0.023273926,0.0753258,-0.98719037,0.76757956,0.7270351,0.6650824,0.9994757,0.7917182
1,0.7158148,0.1373032,0.98242986,0.008266383,0.88339245,0.7050258,0.16102934,0.6212022,0.9566174,0.6567729,-0.9937673,0.9672221,0.9574238,0.13163343,0.8425231,0.7173273,0.26524806,0.051443335,0.009552895,0.253141,-0.8458434,0.9642984,0.976824,0.9976695,-0.9997197,0.95282525,0.36035362,0.5313002,0.82244456,0.041130766,0.83934623,0.8503172,0.95892876,0.9997279,0.96799034,0.047697306,0.91814125,0.30223083,0.8894959,-0.4165373,0.09053636,0.768473,0.9527664,0.051115625,0.44525468,0.9702549,-0.0011177693,0.74519986,-0.39638785,-0.9463715,0.99997723,-0.23477998,0.56521064,0.3417292,0.4216441,0.80573565,0.02182544,0.06886094,-0.97689664,0.7978394,0.7146147,0.6767693,0.99696994,0.7915935
2,0.7158206,0.12899706,0.98210377,0.008629697,0.931383,0.69328207,0.15910749,0.6235113,0.95165676,0.623527,-0.99251777,0.9674972,0.9579703,0.1628114,0.84266907,0.7226051,0.26577666,0.04968807,0.009942959,0.25349614,-0.84115905,0.9643417,0.9783505,0.9979071,-0.9997198,0.9531007,0.37217072,0.53683037,0.8246847,0.041797586,0.83563185,0.8626773,0.9612306,0.9998197,0.96774524,0.04701084,0.9186501,0.3056986,0.8893621,-0.4167274,0.09224225,0.7740833,0.95073676,0.052850977,0.4368568,0.96901727,0.0015409674,0.7014655,-0.4030598,-0.9488819,0.9999759,-0.23640892,0.5746055,0.3451585,0.38628465,0.8027456,0.021739528,0.07270888,-0.9821062,0.7794513,0.7241863,0.67236716,0.9989162,0.7963961
3,0.72389483,0.13137309,0.9822336,0.008608688,0.8820974,0.7080385,0.16057749,0.6169431,0.9576099,0.6398181,-0.9951245,0.9677267,0.95673865,0.14089234,0.8486106,0.7201884,0.26739585,0.05183958,0.009691374,0.25706035,-0.8474891,0.9638629,0.9752923,0.99787253,-0.9997104,0.9540004,0.36134258,0.5314368,0.8225091,0.042746402,0.83704364,0.85286295,0.95819366,0.99983495,0.9679129,0.045763157,0.91873044,0.30194873,0.8853304,-0.4196361,0.09153094,0.77516186,0.95335716,0.05238406,0.43809575,0.9703098,-0.0008325317,0.7758834,-0.3869839,-0.94614506,0.9999763,-0.24140197,0.5690889,0.34064117,0.41866928,0.8055607,0.021983393,0.049073562,-0.9228552,0.79214364,0.7128946,0.67362326,0.99922407,0.79049903
4,0.7139502,0.13709782,0.98248345,0.008174679,0.88486195,0.7042858,0.16054952,0.62169814,0.9563576,0.6599791,-0.9937188,0.9671793,0.95755476,0.13254535,0.8421747,0.7172684,0.26377368,0.051166967,0.009543072,0.25237185,-0.8450212,0.9642248,0.97708476,0.9976522,-0.9997218,0.952041,0.35972634,0.531232,0.8223248,0.04089424,0.8392646,0.85006005,0.9592535,0.9997531,0.96806836,0.04776815,0.91830564,0.30246067,0.8896243,-0.41602683,0.090380065,0.7675033,0.95251197,0.050800722,0.44675177,0.9701827,-0.0010245524,0.736431,-0.3979162,-0.94660753,0.9999773,-0.23285286,0.5651196,0.34150544,0.41942635,0.8057973,0.021656653,0.067798875,-0.9648017,0.79830116,0.7145593,0.6772264,0.9969586,0.7929793
5,0.7188972,0.12299631,0.98199683,0.00875487,0.937781,0.6930256,0.15945467,0.6216484,0.9518369,0.6143465,-0.9944454,0.96765465,0.957974,0.16598219,0.84308374,0.7235591,0.26710996,0.05030035,0.009959063,0.25403368,-0.84110755,0.9643349,0.97801614,0.9979267,-0.9997166,0.9537782,0.37471023,0.538037,0.8249461,0.042350393,0.83502805,0.86303425,0.96110505,0.999819,0.9677548,0.04633933,0.9188653,0.30639338,0.8893002,-0.41771993,0.09274093,0.77656364,0.9510458,0.05330461,0.43473014,0.9687813,0.0018810158,0.7070157,-0.40123355,-0.9491715,0.99997544,-0.23885034,0.57576996,0.34488603,0.38643008,0.80278045,0.021799773,0.071734056,-0.9727272,0.7761255,0.72495157,0.6714719,0.9989693,0.7967784
6,0.7286342,0.12569207,0.98168075,0.009443151,0.9451068,0.69434786,0.15562154,0.61440533,0.9566821,0.578637,-0.9926369,0.967908,0.95712984,0.16788444,0.83809775,0.72445697,0.2712363,0.050339337,0.009964014,0.25801986,-0.84411854,0.96434367,0.97474337,0.9979725,-0.9997003,0.9612841,0.3646716,0.53939366,0.82807183,0.04332868,0.83501756,0.85377705,0.9577757,0.99984825,0.9679124,0.04389547,0.92401963,0.30995056,0.89697856,-0.41869685,0.095126055,0.7840415,0.9509167,0.05598606,0.41769144,0.96798944,0.0036358477,0.7395617,-0.37754574,-0.9493929,0.9999738,-0.24971001,0.5821799,0.34634352,0.4123348,0.79908043,0.022800483,0.08146682,-0.96317863,0.7647806,0.7284515,0.6653612,0.9995827,0.79607403
7,0.7231968,0.11942888,0.98174465,0.009376964,0.93553215,0.68048435,0.15177195,0.61796594,0.95680726,0.5677701,-0.9856047,0.9678138,0.9585827,0.190577,0.8346782,0.72871614,0.26860806,0.04945122,0.010181248,0.25423568,-0.83921516,0.9643249,0.9747717,0.99777734,-0.9997075,0.9537513,0.37415996,0.5453972,0.83056784,0.043129236,0.8315564,0.8538944,0.9596769,0.99988914,0.96790856,0.04427439,0.92531943,0.31642446,0.89480907,-0.41646287,0.09648972,0.7832662,0.94923466,0.05576969,0.41381824,0.96675736,0.005719577,0.6835718,-0.38460767,-0.9507949,0.99997306,-0.24699697,0.5859494,0.34910965,0.39230394,0.7974136,0.022678325,0.042376686,-0.98180664,0.75202435,0.7363845,0.66299975,0.9995433,0.80216074
8,0.7173547,0.13667677,0.9824517,0.008371644,0.8746122,0.70437616,0.16037033,0.6212857,0.956338,0.65019053,-0.99294394,0.9674286,0.9574332,0.13968454,0.8471971,0.71948534,0.26599386,0.051301192,0.009709723,0.25511166,-0.84574366,0.96401864,0.9764529,0.9978087,-0.99971825,0.9515256,0.3623973,0.5320924,0.8225694,0.041733775,0.8369294,0.85320604,0.95918787,0.99984485,0.96782255,0.047334116,0.91874266,0.30242416,0.88624895,-0.41728342,0.09100991,0.7705037,0.9527206,0.051354993,0.44277406,0.9703402,-0.0009402327,0.74796176,-0.3926474,-0.9464314,0.9999769,-0.23651503,0.56892085,0.34192997,0.4107904,0.8054379,0.021856602,0.044873986,-0.96077365,0.79506916,0.7146582,0.6749446,0.9991379,0.7911468
9,0.72204536,0.1280884,0.98195183,0.009012004,0.9475793,0.69483924,0.15615204,0.6168827,0.9558309,0.60230476,-0.99283457,0.9675672,0.9576517,0.15665007,0.83428746,0.7220005,0.26834947,0.050995365,0.009830561,0.254534,-0.84351766,0.9646014,0.974456,0.99782443,-0.9997085,0.9601943,0.36486113,0.53624845,0.8270029,0.042245023,0.8373276,0.8456791,0.95876974,0.9998783,0.9681348,0.04520105,0.9238061,0.3094689,0.90245026,-0.41628695,0.09424806,0.7782005,0.9510223,0.054227255,0.42786184,0.9682739,0.003232339,0.71870005,-0.38491857,-0.9492703,0.99997485,-0.24265108,0.5788273,0.3456682,0.4125569,0.8006552,0.022457987,0.08399446,-0.96435857,0.77376264,0.72731876,0.66856766,0.99938256,0.79720694
