,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.020277312,0.1466677,-0.11634213,-0.9344246,-0.0130933225,-0.24432012,0.056248706,0.24259605,0.3089286,-0.33980286,0.14266853,0.2785635,-0.03751162,-0.1931973,-0.09864082,-0.06838434,-0.862289,0.03859311,0.17377065,-0.749729,-0.07585642,0.35713857,-0.40510452,-0.23185937,0.12685207,-0.06509567,-0.100680344,0.06981987,0.59033906,-0.52643836,0.17694256,0.32795253,0.26917693,-0.14867981,0.69311625,0.08272423,-0.23554629,0.040300086,0.06602183,-0.13956083,0.022711674,0.2629672,-0.010697023,-0.015498003,-0.134367,0.20795895,-0.9218193,-0.31680483,0.20066433,0.22942899,0.41454315,0.04390037,-0.015225512,-0.054951005,0.11881077,0.0029942302,0.021298891,-0.02463343,-0.024624715,0.30122578,-0.16113324,-0.045461766,0.49396735,-0.03192183
1,0.01762606,0.142769,-0.116480805,-0.9305561,-0.008594306,-0.22987139,0.051252693,0.23156394,0.30781406,-0.33562002,0.13895059,0.26527032,-0.03740543,-0.19362536,-0.0954465,-0.07066673,-0.87654513,0.036520462,0.17522053,-0.7477285,-0.07362244,0.3462578,-0.38448226,-0.23312874,0.114189215,-0.06982435,-0.10374408,0.07509003,0.5466741,-0.51652783,0.17119311,0.3319451,0.26297954,-0.14117311,0.69222844,0.06543804,-0.24597754,0.049109533,0.067354284,-0.13792264,0.02251755,0.26539057,-0.015020698,-0.021308532,-0.15022178,0.1913466,-0.92369103,-0.3198542,0.18692312,0.23870736,0.41982263,0.042488325,-0.016432753,-0.059979703,0.1194553,0.0015354151,0.031269155,-0.034118135,-0.027437858,0.2922472,-0.15263733,-0.046643108,0.48318368,-0.033621732
2,0.019275079,0.14281227,-0.1215602,-0.932488,-0.013659391,-0.24378122,0.05343052,0.23893002,0.3070136,-0.3439284,0.13866107,0.2714745,-0.039104808,-0.19524974,-0.09651857,-0.069438644,-0.8719223,0.038025536,0.18050924,-0.7525758,-0.07868093,0.35240725,-0.3996472,-0.23340626,0.12219633,-0.06414001,-0.098871686,0.073021725,0.57982814,-0.5189658,0.17564714,0.3231985,0.26579446,-0.14463438,0.6870306,0.078631684,-0.24608617,0.04394244,0.06710217,-0.14117745,0.024050357,0.26383954,-0.01358955,-0.017685657,-0.14361314,0.20147161,-0.92413676,-0.32066485,0.19827297,0.23100351,0.42141548,0.043607906,-0.014995389,-0.056588486,0.1193544,0.0030084345,0.028402574,-0.02475949,-0.026979562,0.2963448,-0.15906131,-0.045602586,0.49526688,-0.032365505
3,0.015626106,0.14489335,-0.116704695,-0.9342195,-0.009789296,-0.22734465,0.054455828,0.24145079,0.32197955,-0.31519157,0.14364429,0.25850734,-0.041546162,-0.15530851,-0.10555907,-0.07400483,-0.8709113,0.038810253,0.16220212,-0.73009944,-0.07176818,0.34082893,-0.374124,-0.22344568,0.11598341,-0.06921905,-0.097304784,0.078793965,0.54300004,-0.5018067,0.17252398,0.33737415,0.2448241,-0.11438753,0.68721527,0.060118757,-0.24568367,0.04687147,0.05503235,-0.13544804,0.021462971,0.23656158,-0.02815298,-0.005374022,-0.15003398,0.18282221,-0.92628723,-0.3033252,0.18057977,0.23070882,0.42408025,0.03987224,-0.014248157,-0.07158454,0.110383876,0.00148345,0.0235199,-0.036738075,-0.026406622,0.29131034,-0.15470466,-0.04450069,0.48139405,-0.031367004
4,0.018729392,0.1372954,-0.11420165,-0.9342463,-0.011651293,-0.23009585,0.049389087,0.23467042,0.30636516,-0.32506958,0.13721159,0.26496926,-0.035473406,-0.17945324,-0.08955,-0.070014544,-0.8804663,0.037201867,0.17744347,-0.74684954,-0.07382656,0.34564707,-0.3850116,-0.23097415,0.11429891,-0.066634364,-0.09969959,0.07949642,0.54847765,-0.5078495,0.16641158,0.32761872,0.2516843,-0.1296181,0.70109487,0.07144985,-0.24617878,0.047922246,0.059704833,-0.13694698,0.023457168,0.24931397,-0.018098267,-0.014943297,-0.1563756,0.18887372,-0.9262019,-0.3150842,0.18608171,0.2226432,0.4192681,0.042333495,-0.01147453,-0.058096953,0.118561566,0.0025921394,0.03162923,-0.029820472,-0.029606046,0.29165068,-0.14685448,-0.045078754,0.48245376,-0.030564964
5,0.02103941,0.14298467,-0.123309515,-0.92882276,-0.01208462,-0.23891525,0.052214757,0.23916337,0.30595422,-0.33956006,0.1387288,0.27422935,-0.042161707,-0.19134352,-0.09831533,-0.073174395,-0.8759422,0.038063314,0.18127368,-0.752263,-0.07739111,0.34876662,-0.39710984,-0.23581763,0.12261733,-0.06721408,-0.09965281,0.07489688,0.5709425,-0.5221271,0.17602599,0.32517764,0.26549587,-0.13589123,0.68149394,0.073095895,-0.24870001,0.0454384,0.065823406,-0.14199325,0.02531289,0.26327538,-0.016242709,-0.01796179,-0.14357844,0.20308763,-0.9288835,-0.3190001,0.19656493,0.23120336,0.4279866,0.043229435,-0.0143275615,-0.060262732,0.11786008,0.0019710155,0.028578268,-0.027262613,-0.026591524,0.2946443,-0.15823506,-0.0464858,0.49356565,-0.03430725
6,0.0066455407,0.13190036,-0.11429315,-0.9415281,-0.0154961925,-0.23753445,0.056791365,0.24124888,0.31809944,-0.30679077,0.13552555,0.27520642,-0.034002457,-0.16630419,-0.0932006,-0.066118196,-0.86982584,0.038238205,0.16845408,-0.73768663,-0.07881666,0.35875094,-0.39358088,-0.22548914,0.1269823,-0.06388864,-0.094276175,0.076810405,0.5826694,-0.51796937,0.17067426,0.321474,0.24450155,-0.12887836,0.6902451,0.08633703,-0.23663671,0.0408636,0.05436452,-0.13455951,0.021271573,0.23100203,-0.021808023,-0.0026497236,-0.13859743,0.19274665,-0.92338055,-0.2977602,0.18978855,0.20698136,0.42174315,0.039910745,-0.0115585225,-0.057690177,0.11653262,0.005537454,0.016043326,-0.021200562,-0.027560398,0.29749006,-0.14625509,-0.044392053,0.4895504,-0.026875671
7,0.016980786,0.14869487,-0.122099124,-0.9342916,-0.011991464,-0.2531409,0.05815695,0.24057913,0.30212468,-0.3544749,0.13912246,0.27539372,-0.040626165,-0.19241534,-0.09424085,-0.068878755,-0.8760267,0.038391933,0.17712732,-0.75376916,-0.075183965,0.3613088,-0.41248637,-0.23839118,0.12530218,-0.066015236,-0.09763983,0.07871846,0.59552014,-0.52828795,0.18079986,0.31526035,0.26673257,-0.144667,0.68016815,0.07383427,-0.24670838,0.044456884,0.07399848,-0.13745986,0.025980407,0.26581165,-0.017580442,-0.021017553,-0.13677476,0.20751853,-0.9224257,-0.31578812,0.20305122,0.23701085,0.41713658,0.04434872,-0.015652532,-0.056990843,0.12036367,-0.00023836458,0.019694895,-0.019623285,-0.028693376,0.30314597,-0.16158165,-0.04860571,0.48964155,-0.031799927
8,0.0060156505,0.14640287,-0.12671977,-0.92140645,-0.0054709865,-0.23947838,0.05142868,0.25890255,0.30684337,-0.3700842,0.13647233,0.2797255,-0.0473118,-0.2138477,-0.0760321,-0.075317904,-0.8633545,0.038138803,0.1780553,-0.75286883,-0.08077841,0.35953283,-0.41478527,-0.2555355,0.11876058,-0.064467646,-0.09948891,0.087046035,0.5891542,-0.5349051,0.19140115,0.31739262,0.28035435,-0.15283717,0.66342115,0.06639629,-0.24736042,0.04144954,0.08060758,-0.13629091,0.025860513,0.29280367,-0.016796904,-0.03574639,-0.1312629,0.21343355,-0.9244836,-0.33178815,0.22219111,0.24274707,0.45662227,0.047099307,-0.016876211,-0.054136585,0.12460094,-0.0018374468,0.012297144,-0.024530562,-0.03546638,0.30073193,-0.16660418,-0.046470903,0.49403787,-0.03695801
9,0.02090906,0.14989977,-0.11950519,-0.9308208,-0.009689957,-0.24664898,0.0557841,0.24172534,0.30726215,-0.34855768,0.14111327,0.27701038,-0.043057676,-0.19348255,-0.09478424,-0.07206428,-0.8732405,0.03871152,0.18155113,-0.7530241,-0.07478355,0.35931575,-0.41016206,-0.23874503,0.12151114,-0.06783868,-0.09691486,0.07806936,0.58700895,-0.5291168,0.18163207,0.32594216,0.2721079,-0.14277941,0.6797179,0.07173622,-0.24913286,0.046558365,0.07409893,-0.14040029,0.025829216,0.26848647,-0.013962077,-0.022870641,-0.14154689,0.20349275,-0.9264708,-0.32444596,0.20045666,0.23699254,0.42537233,0.04494414,-0.015588274,-0.05821588,0.11714354,0.00079344574,0.025192164,-0.026377967,-0.027851036,0.3034757,-0.16345257,-0.04749826,0.49627322,-0.034474004
